7.488	6.44071	3.3643	9.80501
7.512	7.06651	2.73748	9.804
7.536	7.66122	2.14172	9.80294
7.56	8.20975	1.59214	9.80189
7.584	8.69712	1.10378	9.8009
7.608	9.10913	0.690888	9.80002
7.632	9.43318	0.366116	9.79929
7.656	9.65893	0.139846	9.79877
7.68	9.77897	0.0195188	9.79849
7.704	9.78931	0.00916259	9.79847
7.728	9.68958	0.109127	9.7987
7.752	9.48312	0.316057	9.79918
7.776	9.17675	0.62312	9.79987
7.8	8.78028	1.02044	9.80073
7.824	8.30597	1.49573	9.8017
7.848	7.76775	2.035	9.80274
7.872	7.18052	2.62328	9.8038
7.896	6.5594	3.24543	9.80483
7.92	5.91911	3.88668	9.80579
7.944	5.27343	4.53322	9.80666
7.968	4.63485	5.17257	9.80742
7.992	4.01431	5.79376	9.80806
8.016	3.42109	6.38751	9.80859
8.04	2.86284	6.94617	9.80901
8.064	2.34566	7.46368	9.80934
8.088	1.87422	7.93535	9.80958
8.112	1.45201	8.35774	9.80974
8.136	1.08147	8.72839	9.80986
8.16	0.764252	9.04567	9.80993
8.184	0.5014	9.30857	9.80997
8.208	0.293505	9.51648	9.80999
8.232	0.140869	9.66913	9.80999
8.256	0.0436198	9.76638	9.81
8.28	0.00179548	9.8082	9.81
8.304	0.0154028	9.79459	9.81
8.328	0.0844402	9.72556	9.81
8.352	0.20889	9.6011	9.80999
8.376	0.38868	9.4213	9.80998
8.4	0.62361	9.18634	9.80995
8.424	0.91325	8.89665	9.8099
8.448	1.25681	8.553	9.80981
8.472	1.65297	8.1567	9.80967
8.496	2.09972	7.70975	9.80947
8.52	2.59411	7.21508	9.80919
8.544	3.13213	6.67669	9.80882
8.568	3.7084	6.09995	9.80835
8.592	4.31609	5.49167	9.80776
8.616	4.94676	4.8603	9.80706
8.64	5.59029	4.21596	9.80624
8.664	6.23497	3.57036	9.80533
8.688	6.86764	2.93669	9.80433
8.712	7.47399	2.32929	9.80328
8.736	8.03905	1.76317	9.80223
8.76	8.54772	1.25349	9.80121
8.784	8.98547	0.81482	9.80029
8.808	9.3391	0.460409	9.79951
8.832	9.59747	0.201449	9.79892
8.856	9.75217	0.0463886	9.79856
8.88	9.79805	0.000395514	9.79845
8.904	9.73358	0.0650184	9.7986
8.928	9.56092	0.238083	9.799
8.952	9.28579	0.513838	9.79963
8.976	8.9171	0.883331	9.80043
9	8.46641	1.33497	9.80138
9.024	7.94717	1.85523	9.8024
9.048	7.37407	2.42939	9.80346
9.072	6.76223	3.04227	9.8045
9.096	6.12656	3.67893	9.80549
9.12	5.48119	4.3252	9.80639
9.144	4.83905	4.96814	9.80719
9.168	4.2116	5.59627	9.80787
9.192	3.60867	6.19977	9.80843
